,ANZSCO_TITLE,ANZSCO_CODE,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25
43,Sales Representatives and Agents,61,4226,4350,4958,4655,4680,4540,4773,4729,4739,4545,4262,3752,3962,4210,4416,3140,2334,2204,3055,3475,3627,3682,3779,3557,3885,4219,5053,5137,5259,5118,5102,4899,4827,4943,5243,4791,4968,5241,6342,6175,6228,5974,6110,6078,6106,6068,5760,4874,4912,5065,5996,5762,5861,5689,5925,6003,5975,5987,5563,4881,4929,5226,5941,5841,5857,5755,5685,5640,5624,5633,5212,4482,4630,4893,5637,5251,5264,5137,5371,5282,5295,5170,4907
44,Sales Assistants and Salespersons,62,7128,7051,8007,7428,7475,7306,7717,7796,8139,8300,7803,6545,6240,6381,6676,4670,3363,3344,4951,6076,7116,8292,9050,8281,8052,8316,10121,10606,11146,10974,11030,10795,11651,13360,14948,13373,12818,12536,15426,15396,16192,15694,16211,16647,17081,17411,16082,13143,12076,11702,13593,12784,12926,12326,12737,13404,14068,14588,13191,10774,10117,10146,11404,11122,11299,11086,10934,11089,11967,12670,11797,9547,8889,8800,10027,9396,9554,9543,10077,10273,11088,11528,11009
45,Sales Support Workers,63,1229,1163,1319,1153,1177,1063,1038,936,948,943,866,732,732,771,786,561,411,379,507,615,746,875,926,861,835,880,1113,1241,1465,1472,1585,1573,1641,1687,1733,1622,1617,1643,1896,1861,1879,1824,1927,1980,2085,2217,2129,1733,1595,1518,1754,1572,1592,1554,1549,1554,1500,1525,1443,1178,1086,1073,1261,1265,1258,1241,1197,1237,1288,1415,1352,1178,1128,1121,1234,1137,1155,1126,1209,1189,1282,1261,1223
46,MACHINERY OPERATORS AND DRIVERS,7,8015,7775,8764,8095,8088,7659,8013,7871,8209,8380,8187,7093,6923,6902,7433,6070,5397,5562,7000,7933,8643,9132,9730,9068,9275,9666,11502,11938,12307,12139,12235,12177,12521,13318,14150,12832,12884,13065,15706,15382,15638,15084,15747,16283,16357,16363,15503,13426,13408,13549,15984,15034,15193,14430,14869,14675,14565,14758,14010,12092,11748,11861,13286,12806,12642,12195,12227,12126,12435,12927,12579,11026,10911,11092,12662,11807,11851,11519,12154,12091,12719,13176,13111
47,Machine and Stationary Plant Operators,71,1938,1919,2161,2039,2093,2025,2136,2066,2117,2064,1989,1701,1682,1703,1828,1546,1397,1432,1685,1850,1962,2073,2146,2003,2097,2238,2641,2702,2769,2742,2798,2856,2957,3048,3126,2823,2886,3008,3595,3508,3588,3457,3605,3625,3595,3532,3359,2940,2984,3033,3560,3396,3489,3379,3475,3415,3368,3338,3206,2788,2817,2793,3075,2906,2910,2819,2824,2772,2814,2881,2782,2480,2533,2647,3031,2825,2851,2772,2899,2876,2940,2988,2885
48,Mobile Plant Operators,72,2456,2306,2561,2391,2377,2249,2349,2339,2479,2591,2581,2261,2109,2058,2239,1927,1777,1766,2183,2439,2637,2672,2769,2554,2489,2560,2992,3152,3191,3107,3115,3149,3242,3468,3560,3161,3027,2976,3535,3486,3594,3539,3779,4021,4126,4154,3969,3485,3438,3458,4044,3852,3873,3655,3791,3837,3860,3983,3757,3261,2989,2984,3307,3287,3237,3152,3169,3216,3349,3538,3449,2990,2876,2868,3228,3018,3029,2980,3179,3186,3426,3612,3654
49,Drivers and Storepersons,7A,3626,3548,4044,3676,3613,3393,3515,3471,3615,3723,3623,3131,3134,3145,3362,2591,2222,2360,3129,3650,4037,4388,4809,4513,4688,4874,5868,6087,6347,6286,6320,6176,6320,6805,7466,6846,6965,7072,8588,8390,8453,8087,8370,8646,8635,8670,8166,7001,6981,7058,8370,7790,7834,7399,7599,7425,7339,7424,7045,6043,5939,6090,6899,6623,6496,6230,6229,6138,6266,6511,6358,5556,5494,5571,6394,5965,5968,5769,6079,6025,6351,6581,6574
50,LABOURERS,8,9879,9670,10917,10158,9993,9345,9878,9947,10537,10745,10414,9069,8686,8665,9307,7501,6482,6613,8637,9910,11144,12263,13500,12877,13001,13653,16434,17403,18202,17676,17596,17220,17749,19846,22069,21017,20423,20251,23737,23664,24221,23337,23858,24169,23933,24006,22768,19588,18817,18111,20824,19097,18693,17185,17293,16959,16704,16990,16203,14051,13774,13878,15364,14723,14295,13623,13578,13614,14387,15157,14893,13056,12565,12491,14037,13128,13027,12557,13269,13458,14315,14915,14678
51,Cleaners and Laundry Workers,81,1593,1579,1765,1639,1574,1448,1508,1545,1644,1678,1672,1484,1440,1431,1614,1328,1154,1121,1540,1811,2043,2227,2534,2569,2631,2777,3274,3448,3496,3295,3282,3113,3148,3577,4248,4342,4321,4329,4996,5068,5225,5052,5103,5090,4916,4881,4566,3989,3792,3625,4097,3754,3622,3277,3239,3166,3083,3138,3050,2724,2756,2741,3018,2883,2877,2770,2755,2783,2919,3151,3107,2833,2737,2738,3004,2759,2734,2631,2796,2827,2993,3203,3229
52,Construction and Mining Labourers,82,1073,1077,1225,1149,1147,1095,1179,1185,1221,1243,1164,1001,910,916,975,803,728,803,1017,1156,1282,1416,1454,1286,1294,1420,1761,1831,1890,1844,1867,1868,1930,2070,2098,1860,1830,1948,2375,2337,2354,2279,2325,2358,2311,2317,2176,1882,1865,1920,2310,2177,2181,2080,2187,2194,2160,2167,2015,1684,1607,1649,1828,1733,1657,1634,1664,1649,1663,1659,1565,1321,1321,1379,1619,1542,1526,1468,1544,1584,1684,1732,1658
53,Factory Process Workers,83,1726,1661,1908,1805,1793,1701,1790,1815,1928,1947,1884,1601,1546,1518,1669,1357,1190,1160,1510,1731,1928,2059,2169,2003,1936,2045,2426,2600,2782,2811,2908,2978,3241,3596,3863,3474,3294,3134,3629,3513,3604,3441,3596,3684,3763,3804,3628,3056,2823,2618,3048,2810,2813,2621,2666,2606,2572,2584,2451,2042,1956,1884,2119,2080,2078,1962,1942,1964,2094,2184,2107,1795,1730,1747,2031,1964,1968,1901,1958,1993,2168,2246,2159
54,"Farm, Forestry and Garden Workers",84,617,610,669,585,556,512,547,571,600,602,597,544,575,593,641,542,460,448,573,695,866,991,1098,1059,1114,1201,1409,1390,1331,1195,1198,1237,1316,1366,1436,1351,1375,1384,1525,1421,1336,1232,1260,1326,1324,1343,1294,1180,1202,1206,1347,1222,1158,1036,1040,1060,1097,1152,1090,962,959,1044,1146,1072,963,889,853,868,919,974,951,819,837,847,941,850,814,769,810,855,926,955,910
55,Food Preparation Assistants,85,901,882,999,940,942,843,904,955,1066,1136,1102,969,910,871,875,620,460,475,639,727,808,974,1251,1329,1491,1560,1967,2277,2586,2564,2293,1945,1799,2423,3177,3460,3216,3019,3461,3629,3822,3776,3704,3598,3406,3431,3212,2698,2396,2161,2316,2007,1876,1645,1648,1564,1560,1599,1585,1430,1421,1431,1503,1424,1336,1240,1215,1278,1433,1594,1626,1477,1209,971,940,886,904,859,904,919,1009,1069,1063
